               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.605,                3.79,              4.0315,             0.43834,             0.36626,             0.34526,             0.13422,                   0,                   0,                   0,            0.070005,           0.0033328,           0.0033328
                   1,              2.4771,              2.6677,               2.717,             0.50966,             0.44095,             0.44094,             0.19102,                   0,                   0,                   0,            0.039998,           0.0066596,           0.0066596
                   2,              2.3308,              2.5556,              2.5339,             0.54925,             0.45009,             0.47016,              0.2113,                   0,                   0,                   0,           0.0099659,           0.0099604,           0.0099604
                   3,              2.2536,              2.4558,              2.4371,             0.58456,             0.47384,              0.5001,             0.22916,                   0,                   0,                   0,           0.0099123,           0.0099123,           0.0099123
                   4,              2.1889,              2.3568,              2.3713,             0.62072,             0.47595,             0.52283,             0.24437,                   0,                   0,                   0,           0.0099123,           0.0099123,           0.0099123
                   5,              2.1465,              2.2876,               2.334,             0.63091,             0.49658,             0.54253,             0.25524,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                   6,              2.1195,              2.2426,              2.3123,             0.63082,             0.50614,             0.54831,             0.26219,                   0,                   0,                   0,           0.0097577,           0.0097577,           0.0097577
                   7,              2.1026,              2.2122,              2.2957,             0.63688,             0.50936,             0.55363,             0.26701,                   0,                   0,                   0,           0.0096524,           0.0096524,           0.0096524
                   8,              2.0892,              2.1883,               2.279,             0.64625,             0.50441,             0.55797,             0.27182,                   0,                   0,                   0,           0.0095289,           0.0095289,           0.0095289
                   9,              2.0755,              2.1667,              2.2719,              0.6493,             0.50594,             0.56026,             0.27339,                   0,                   0,                   0,           0.0093877,           0.0093877,           0.0093877
                  10,              2.0581,              2.1379,              2.2529,             0.65739,             0.50451,             0.56211,             0.27581,                   0,                   0,                   0,           0.0092294,           0.0092294,           0.0092294
                  11,              2.0472,              2.1172,              2.2406,             0.65344,             0.50443,             0.56491,             0.27775,                   0,                   0,                   0,           0.0090546,           0.0090546,           0.0090546
                  12,              2.0399,               2.104,              2.2338,             0.65587,             0.50543,             0.56625,              0.2786,                   0,                   0,                   0,            0.008864,            0.008864,            0.008864
                  13,              2.0304,              2.0906,              2.2277,             0.65798,             0.50583,             0.56862,             0.28026,                   0,                   0,                   0,           0.0086584,           0.0086584,           0.0086584
                  14,              2.0253,              2.0728,              2.2231,             0.65817,             0.50805,             0.57086,             0.28214,                   0,                   0,                   0,           0.0084385,           0.0084385,           0.0084385
                  15,              2.0126,              2.0589,              2.2098,             0.66186,             0.51006,             0.57397,             0.28436,                   0,                   0,                   0,           0.0082052,           0.0082052,           0.0082052
                  16,               2.005,              2.0399,              2.2023,             0.66434,             0.51006,             0.57642,             0.28663,                   0,                   0,                   0,           0.0079595,           0.0079595,           0.0079595
                  17,              1.9979,              2.0292,              2.1961,             0.67072,             0.51118,             0.57941,             0.28955,                   0,                   0,                   0,           0.0077023,           0.0077023,           0.0077023
                  18,              1.9976,              2.0182,              2.1866,              0.6718,             0.51228,             0.58248,             0.29171,                   0,                   0,                   0,           0.0074347,           0.0074347,           0.0074347
                  19,              1.9857,              2.0049,              2.1846,              0.6745,             0.51169,             0.58562,             0.29437,                   0,                   0,                   0,           0.0071576,           0.0071576,           0.0071576
                  20,              1.9803,              1.9941,              2.1766,             0.67606,             0.51348,             0.59016,             0.29789,                   0,                   0,                   0,           0.0068722,           0.0068722,           0.0068722
                  21,              1.9712,              1.9809,              2.1685,             0.67869,              0.5163,              0.5936,              0.3013,                   0,                   0,                   0,           0.0065796,           0.0065796,           0.0065796
                  22,              1.9649,               1.965,              2.1603,             0.67359,             0.52264,             0.59836,             0.30415,                   0,                   0,                   0,            0.006281,            0.006281,            0.006281
                  23,              1.9583,              1.9533,              2.1582,             0.66942,              0.5327,             0.60257,             0.30822,                   0,                   0,                   0,           0.0059775,           0.0059775,           0.0059775
                  24,              1.9477,              1.9382,              2.1445,             0.66681,             0.53693,             0.60644,             0.31198,                   0,                   0,                   0,           0.0056704,           0.0056704,           0.0056704
                  25,              1.9418,              1.9215,              2.1431,             0.67009,             0.54119,             0.61142,              0.3159,                   0,                   0,                   0,           0.0053608,           0.0053608,           0.0053608
                  26,              1.9342,              1.9118,              2.1353,             0.67235,              0.5482,             0.61696,             0.32043,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              1.9283,               1.897,               2.135,             0.67655,             0.55454,             0.62286,             0.32527,                   0,                   0,                   0,           0.0047392,           0.0047392,           0.0047392
                  28,              1.9207,               1.878,              2.1252,             0.68031,             0.55737,             0.62707,              0.3288,                   0,                   0,                   0,           0.0044296,           0.0044296,           0.0044296
                  29,              1.9129,              1.8647,              2.1199,              0.6868,             0.55836,             0.63161,             0.33322,                   0,                   0,                   0,           0.0041225,           0.0041225,           0.0041225
                  30,               1.903,              1.8524,              2.1103,             0.69431,             0.56016,              0.6353,             0.33744,                   0,                   0,                   0,            0.003819,            0.003819,            0.003819
                  31,              1.8948,              1.8347,              2.1006,             0.69806,              0.5645,             0.64042,             0.34127,                   0,                   0,                   0,           0.0035204,           0.0035204,           0.0035204
                  32,              1.8824,               1.821,              2.0986,             0.70467,             0.56975,             0.64523,             0.34544,                   0,                   0,                   0,           0.0032278,           0.0032278,           0.0032278
                  33,              1.8785,              1.8036,              2.0912,             0.71192,             0.57069,             0.64954,             0.34865,                   0,                   0,                   0,           0.0029424,           0.0029424,           0.0029424
                  34,              1.8696,              1.7871,              2.0851,             0.71613,             0.57164,             0.65312,             0.35166,                   0,                   0,                   0,           0.0026653,           0.0026653,           0.0026653
                  35,              1.8562,              1.7672,              2.0755,              0.7213,             0.57475,             0.65679,             0.35505,                   0,                   0,                   0,           0.0023977,           0.0023977,           0.0023977
                  36,              1.8508,              1.7516,              2.0677,             0.71944,               0.581,             0.66079,             0.35823,                   0,                   0,                   0,           0.0021405,           0.0021405,           0.0021405
                  37,              1.8412,              1.7387,              2.0624,             0.72534,              0.5813,             0.66388,             0.36132,                   0,                   0,                   0,           0.0018948,           0.0018948,           0.0018948
                  38,               1.834,              1.7221,              2.0557,             0.72414,             0.58634,             0.66709,             0.36436,                   0,                   0,                   0,           0.0016615,           0.0016615,           0.0016615
